system:index,IDDIST,mean
00000000000000000132,010103,0.0050371001522876374
000000000000000001fd,010110,0.005795664017461606
0000000000000000022d,010109,0.0059571424262095905
00000000000000000237,010118,0.006715489245807101
0000000000000000023a,010101,0.005940431555346271
00000000000000000248,010112,0.0058547731367771545
00000000000000000250,010108,0.006585572156252942
00000000000000000256,010105,0.008077843044302212
00000000000000000261,010102,0.008621428636072744
00000000000000000262,010116,0.009151126008191908
000000000000000002ab,010104,0.007023034400641065
00000000000000000345,010107,0.009058616947303193
00000000000000000346,010117,0.0084909293164011
0000000000000000058a,010106,0.005219487822769697
00000000000000000612,010111,0.005724696410171074
00000000000000000642,010114,0.008102498892948756
00000000000000000644,010121,0.006865153384044476
00000000000000000656,010119,0.005799447955330117
00000000000000000665,010120,0.006376727517413417
00000000000000000667,010115,0.005881416806014917
0000000000000000066f,010113,0.005920175593099688
00000000000000000234,010206,0.005169935115469323
00000000000000000350,010201,0.0045315061014582336
00000000000000000636,010204,0.005748452321989438
0000000000000000063a,010203,0.006589302172818571
0000000000000000064a,010202,0.004372666915498523
00000000000000000698,010205,0.0065131636399250094
00000000000000000257,010303,0.0077681364729818405
0000000000000000025f,010309,0.007894803781643147
00000000000000000347,010311,0.007310264729014767
0000000000000000034b,010304,0.008162036025966246
0000000000000000062d,010306,0.008679546448610582
0000000000000000064c,010312,0.008562656460873503
00000000000000000657,010307,0.0083185023752982
00000000000000000659,010308,0.008770296026871007
0000000000000000065c,010305,0.008243782814022561
0000000000000000065d,010310,0.008898863428743978
0000000000000000065e,010302,0.00874595298023593
0000000000000000065f,010301,0.008038438450660563
00000000000000000265,010401,0.007759939174093972
00000000000000000699,010402,0.010287545812253185
0000000000000000069a,010403,0.008518551846925876
0000000000000000013c,010515,0.005958034277463737
0000000000000000013d,010504,0.005794350686253251
0000000000000000014a,010514,0.00487688665615259
00000000000000000187,010501,0.0068524620408695275
00000000000000000207,010520,0.00757531783192021
00000000000000000208,010518,0.008001520033982133
0000000000000000023c,010508,0.006315604891918115
00000000000000000249,010507,0.005428800455248946
0000000000000000024f,010506,0.00616876529084459
00000000000000000269,010517,0.005723022485094115
000000000000000002ac,010510,0.007225050936288019
000000000000000002ad,010505,0.0071322566602149305
00000000000000000344,010516,0.007346633175056958
00000000000000000352,010511,0.0054329494197681155
00000000000000000353,010519,0.005727545474454186
00000000000000000622,010509,0.00671604662206032
00000000000000000627,010502,0.006503926878213871
0000000000000000063f,010523,0.006705695306743189
00000000000000000641,010512,0.00658068459135636
00000000000000000652,010522,0.005551081374670142
00000000000000000664,010513,0.005742306590875345
00000000000000000673,010503,0.004862858990111428
00000000000000000674,010521,0.005747120758919435
0000000000000000013e,010603,0.0066133884467536146
0000000000000000022b,010604,0.006389701231623745
0000000000000000022e,010605,0.006020898339536223
00000000000000000239,010607,0.007418463888293039
00000000000000000252,010612,0.00685409571407368
0000000000000000060f,010601,0.006773998225984859
00000000000000000611,010606,0.007286955331678131
00000000000000000618,010602,0.006011148963448719
0000000000000000061b,010611,0.006251375714733614
0000000000000000062a,010608,0.006182494049162292
00000000000000000653,010609,0.006456513890548587
0000000000000000067c,010610,0.006359337341571876
00000000000000000209,010705,0.00793503675688836
0000000000000000025e,010706,0.0064463807078813965
00000000000000000264,010707,0.0055494694113066255
0000000000000000026c,010703,0.004280242349378222
0000000000000000034c,010704,0.0038883808323606803
00000000000000000633,010701,0.006367536018922876
00000000000000000687,010702,0.010555694063313902
000000000000000000e1,020104,0.0026465210100423105
000000000000000000f3,020107,0.0044711579402797585
000000000000000000f5,020103,0.003421261206405591
000000000000000000f6,020108,0.005616680613028757
000000000000000000f7,020109,0.00198135973877076
00000000000000000118,020111,0.005242049975487241
0000000000000000011b,020110,0.004329409764020825
0000000000000000011c,020105,0.0059726928731805105
00000000000000000156,020102,0.004170655986800871
00000000000000000158,020106,0.006028162853997598
0000000000000000027b,020112,0.006013521089453876
00000000000000000594,020101,0.006017723461699441
00000000000000000112,020205,0.006014917839246343
00000000000000000114,020203,0.005509308397059605
00000000000000000115,020204,0.005921461960831089
0000000000000000057c,020201,0.0065436937203038215
0000000000000000057f,020202,0.002832034688977417
